id,created_at,state,product_code,description,units,price_jpy,discount_jpy,delivery_jpy,tax_jpy
H-00267,2025-09-16T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,5,3950,0,0,1975
H-00268,2025-09-27T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,1,975,0,0,98
H-00269,2025-10-08T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,2,2200,0,450,440
H-00270,2025-10-19T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,3,3425,0,0,1028
H-00271,2025-10-30T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,4,4650,200,0,1860
H-00272,2025-11-10T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,5,1675,0,0,838
H-00273,2025-11-21T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,1,2900,0,450,290
H-00274,2025-12-02T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,2,4125,0,0,825
H-00275,2025-12-13T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,3,1150,0,0,345
H-00276,2025-12-24T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,4,2375,0,0,950
H-00277,2026-01-04T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,5,3600,0,450,1800
H-00278,2026-01-15T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,1,4825,0,0,482
H-00279,2026-01-26T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,2,1850,0,0,370
H-00280,2026-02-06T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,3,3075,200,0,922
H-00281,2026-02-17T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,4,4300,0,450,1720
H-00282,2026-02-28T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,5,1325,0,0,662
H-00283,2026-03-11T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,1,2550,0,0,255
H-00284,2026-03-22T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,2,3775,0,0,755
H-00285,2026-04-02T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,3,5000,0,450,1500
H-00286,2026-04-13T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,4,2025,0,0,810
H-00287,2026-04-24T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,5,3250,0,0,1625
H-00288,2026-05-05T00:00:00+0000,void,P-021,Synthetic Product 21,1,4475,0,0,448
H-00289,2026-05-16T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,2,1500,200,450,300
H-00290,2026-05-27T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,3,2725,0,0,818
H-00291,2026-06-07T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,4,3950,0,0,1580
H-00292,2026-06-18T00:00:00+0000,refunded,P-001,Synthetic Product 01,5,975,0,0,488
H-00293,2026-06-29T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,1,2200,0,450,220
H-00294,2026-07-10T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,2,3425,0,0,685
H-00295,2026-07-21T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,3,4650,0,0,1395
H-00296,2026-08-01T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,4,1675,0,0,670
H-00297,2026-08-12T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,5,2900,0,450,1450
H-00298,2026-08-23T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,1,4125,200,0,412
H-00299,2025-09-03T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,2,1150,0,0,230
H-00300,2025-09-14T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,3,2375,0,0,712
H-00301,2025-09-25T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,4,3600,0,450,1440
H-00302,2025-10-06T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,5,4825,0,0,2412
H-00303,2025-10-17T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,1,1850,0,0,185
H-00304,2025-10-28T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,2,3075,0,0,615
H-00305,2025-11-08T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,3,4300,0,450,1290
H-00306,2025-11-19T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,4,1325,0,0,530
H-00307,2025-11-30T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,5,2550,200,0,1275
H-00308,2025-12-11T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,1,3775,0,0,378
H-00309,2025-12-22T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,2,5000,0,450,1000
H-00310,2026-01-02T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,3,2025,0,0,608
H-00311,2026-01-13T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,4,3250,0,0,1300
H-00312,2026-01-24T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,5,4475,0,0,2238
H-00313,2026-02-04T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,1,1500,0,450,150
H-00314,2026-02-15T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,2,2725,0,0,545
H-00315,2026-02-26T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,3,3950,0,0,1185
H-00316,2026-03-09T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,4,975,200,0,390
H-00317,2026-03-20T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,5,2200,0,450,1100
H-00318,2026-03-31T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,1,3425,0,0,342
H-00319,2026-04-11T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,2,4650,0,0,930
H-00320,2026-04-22T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,3,1675,0,0,502
H-00321,2026-05-03T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,4,2900,0,450,1160
H-00322,2026-05-14T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,5,4125,0,0,2062
H-00323,2026-05-25T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,1,1150,0,0,115
H-00324,2026-06-05T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,2,2375,0,0,475
H-00325,2026-06-16T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,3,3600,200,450,1080
H-00326,2026-06-27T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,4,4825,0,0,1930
H-00327,2026-07-08T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,5,1850,0,0,925
H-00328,2026-07-19T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,1,3075,0,0,308
H-00329,2026-07-30T00:00:00+0000,void,P-020,Synthetic Product 20,2,4300,0,450,860
H-00330,2026-08-10T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,3,1325,0,0,398
H-00331,2026-08-21T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,4,2550,0,0,1020
H-00332,2025-09-01T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,5,3775,0,0,1888
H-00333,2025-09-12T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,1,5000,0,450,500
H-00334,2025-09-23T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,2,2025,200,0,405
H-00335,2025-10-04T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,3,3250,0,0,975
H-00336,2025-10-15T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,4,4475,0,0,1790
H-00337,2025-10-26T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,5,1500,0,450,750
H-00338,2025-11-06T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,1,2725,0,0,272
H-00339,2025-11-17T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,2,3950,0,0,790
H-00340,2025-11-28T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,3,975,0,0,292
H-00341,2025-12-09T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,4,2200,0,450,880
H-00342,2025-12-20T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,not-a-number,3425,0,0,1712
